page-link,name,price,adresse,image-link,devise,quartier,ville,pays
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-mondain-boulan-1856511,Pigeons Mondain / boulan,Prixsur,"Louga, Sénégal","background-image: url(""https://images.coinafrique.com/1856511_uploaded_image2_1585321344.02.png""); width: 383px;",demande,"Louga,","Louga,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-1888745,Poulet de chair,2500,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1888745_uploaded_image1_1585919292.3.png""); width: 422px;",CFA,Keur,"Massar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-paon-1890068,Pigeon paon,40000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1890068_uploaded_image1_1585932988.65.png""); width: 583px;",CFA,"Mermoz-Sacré-Cœur,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1890093,Pigeons,30000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1890093_uploaded_image1_1585933267.84.png""); width: 583px;",CFA,"Mermoz-Sacré-Cœur,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-laor-1890181,Pigeons Laor,40000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1890181_uploaded_image1_1585934252.04.png""); width: 583px;",CFA,"Mermoz-Sacré-Cœur,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-king-1890193,Pigeons King,35000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1890193_uploaded_image1_1585934383.75.png""); width: 583px;",CFA,"Mermoz-Sacré-Cœur,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-orpitone-1890489,Coq Orpitone,30000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1890489_uploaded_image1_1585937996.82.png""); width: 583px;",CFA,"Mermoz-Sacré-Cœur,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-1907954,Poulet,3000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1907954_uploaded_image1_1586270049.67.png""); width: 369px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/orpington-1913036,Orpington,30000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1913036_uploaded_image1_1586352896.21.png""); width: 583px;",CFA,"Mermoz-Sacré-Cœur,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-1913175,Lapins,Prixsur,"Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1913175_uploaded_image1_1586355015.48.png""); width: 369px;",demande,"Dieuppeul-Derklé,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-1918730,Poulets,2750,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1918730_uploaded_image2_1586442251.23.png""); width: 369px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-de-chairs-1934126,Poulets de chairs,2500,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1934126_uploaded_image1_1586708547.66.png""); width: 596px;",CFA,"Dakar,","Dakar,",Sénégal
