page-link,name,price,adresse,image-link,devise,quartier,ville,pays
https://sn.coinafrique.com/annonce/chiens/chien-dogue-allemand-1840570,Chien Dogue Allemand,Sur demande,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1840570_uploaded_image2_1585048708.25.png""); width: 438px;",Non défini,"Yoff,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/caniches-1840583,Caniches,Sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1840583_uploaded_image1_1585048857.01.png""); width: 438px;",Non défini,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-spitz-nain-pomeranian-1862107,Chiots Spitz nain pomeranian,Sur demande,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1862107_uploaded_image1_1585455904.62.png""); width: 488px;",Non défini,"Fann,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-shiba-inu-1862112,Chiots Shiba inu,Sur demande,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1862112_uploaded_image1_1585456241.69.png""); width: 488px;",Non défini,"Fann,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-pekinois-pure-race-1862142,Chiots pékinois pure race,Sur demande,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1862142_uploaded_image1_1585459853.32.png""); width: 488px;",Non défini,"Fann,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-dogue-allemand-1862148,Chiots Dogue allemand,Sur demande,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1862148_uploaded_image1_1585459981.26.png""); width: 488px;",Non défini,"Fann,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/femelle-dogue-de-bordeaux-1862155,Femelle dogue de Bordeaux,Sur demande,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1862155_uploaded_image1_1585460203.94.png""); width: 488px;",Non défini,"Fann,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/bulldog-anglais-1862159,Bulldog anglais,Sur demande,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1862159_uploaded_image1_1585460332.93.png""); width: 488px;",Non défini,"Fann,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/labrador-1869479,Labrador,200000,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1869479_uploaded_image1_1585587706.8.png""); width: 583px;",CFA,"Yoff,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/metisse-chiots-rottweiler-1890049,Métisse chiots rottweiler,50000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1890049_uploaded_image1_1585932795.82.png""); width: 583px;",CFA,"Mermoz-Sacré-Cœur,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiens-malinois-1904735,Chiens Malinois,300000,"Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1904735_uploaded_image1_1586214527.85.png""); width: 535px;",CFA,Dakar,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiot-boxer-1935386,Chiot boxer,Sur demande,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1935386_uploaded_image1_1586726128.5.png""); width: 488px;",Non défini,"Fann,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-labrador-1935397,Chiots Labrador,Sur demande,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1935397_uploaded_image1_1586726397.65.png""); width: 488px;",Non défini,"Fann,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chien-1940062,Chien,400000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1940062_uploaded_image1_1586802060.81.png""); width: 597px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chien-1940073,Chien,400000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1940073_uploaded_image1_1586802159.93.png""); width: 597px;",CFA,"Dakar,","Dakar,",Sénégal
